title,description,skills,company_name,location,min_salary,max_salary,formatted_work_type,remote_allowed,formatted_experience_level,applies
Building Maintenance Manager,"Job Summary:Responsible for coordinating and overseeing maintenance activities related to facilities and equipment, ensuring smooth operations. Performs building repairs utilizing diverse technical expertise such as carpentry, electrical, and plumbing. Ensures production equipment adheres to organizational standards, minimizing downtime. Develops and implements preventive maintenance protocols. Supervises mechanics/technicians involved in equipment maintenance. Manages inventory of operational supplies. Conducts regular building inspections to identify necessary repairs and safety concerns. Ensures compliance with health and safety regulations. Collaborates as a team member within the department and organization, undertaking any assigned task to enhance company objectives.
Responsibilities:Supervise and manage a team of maintenance techniciansDevelop and implement maintenance procedures to ensure efficient operationsProvides leadership and guidance to associates, overseeing staffing, training, coaching, performance management, and conflict resolution.Manages fleet assets and directs maintenance facilities, supervising teams responsible for servicing our fleet of over 100 vehicles and equipment.Ensures optimal fleet service efficiency by supervising maintenance team staffing and implementing professional development programs.Supervises associates in staffing, training, coaching, performance management, and problem resolution.Maintains and oversees warehouse operations, including repairing concrete floors, roll-up dock doors, racks, lights, plumbing fixtures, drywall installation, air conditioning units service, and room remodeling and decoration.Coordinates with external building contractors.Maintains accurate records of work orders for preventative maintenance and monitors ammonia cooling systems.Conducts in-house machine repairs as necessary.Performs any other assigned duties.
Requirements:Proven experience in building maintenance or a related fieldStrong leadership skills with the ability to supervise a team effectivelySolid knowledge of industrial maintenance practices and proceduresProficiency in using CMMS software for maintenance tracking and reportingElectrical and mechanical knowledge for troubleshooting and repairsHVAC certification or experience preferredExcellent problem-solving skills with the ability to identify issues and implement solutions promptlyStrong attention to detail and organizational abilitiesAbility to work independently as well as collaboratively in a team environment
Qualifications:Bachelor’s Degree in a technical discipline, engineering or equivalent experience5 + years of management/supervisory experience in a maintenance and or facilities rolePrior experience in manufacturing environments and industries (Automotive, Logistics, aerospace, chemical, medical devices, pharmaceutical)Two or more years of experience in carpentry, electrical work, and plumbing, with an additional five or more years of experience specifically in commercial heating, air conditioning, and refrigeration systems. Previous experience in a leadership or supervisory role is required.
We offer competitive pay based on experience along with benefits such as health insurance, retirement plans, paid time off, and opportunities for career advancement. If you are a motivated individual with a passion for maintaining facilities at their best, we would love to hear from you.Note: This job description is intended to provide a general overview of the position. It is not an exhaustive list of all responsibilities, duties, and skills required.
Job Type: Full-time
﻿Pay: $110,000.00 - $125,000.00 per year
Benefits:401(k) matchingDental insuranceEmployee assistance programHealth insuranceHealth savings accountLife insurancePaid time offRetirement planTuition reimbursementVision insuranceExperience level: 4 yearsSchedule:8 hour shiftMonday to FridayWork setting: In-personLicense/Certification:EPA Certification (Required)OSHA (Required)Driver's License (Required)Ability to Relocate:New Jersey: Relocate before starting work (Required)Work Location: In person",,Cold Storage Recruiting,"Elizabeth, NJ",110000.0,125000.0,Full-time,,,2
Senior Account Executive,"ESSENTIAL DUTIES & RESPONSIBILITIES: DocumentationManage the Client Insurance Program, utilizing agency management system. Generally manages larger and more complex accounts than the Account Executive. Duties include those that are done directly (higher level) or accomplished through other resources ResponsibilitiesFunction as team member of the Client Services team to ensure superior service to all MMA ClientsDelegate and manage tasks given to the Account Manager, as well as outsourcing teams, as appropriate.Ensure tasks from both Account Manager and outsourcing team are completed as directedEnsure Account Manager is performing all tasks as outlined in the MMA AM Job DescriptionDemonstrate the technical expertise to assist in maintaining the Client Insurance ProgramAnalyze insurance quotes and make recommendationsComprehend and interpret Insurance Contract requirements for CertificatesCommunicate with insurance carriers as needed

QualificationsLicensed: Texas P&C AgentEducation: Bachelor’s Degree, preferred o (Internal) 5-7 years of Account Executive experience preferred o (External) Minimum of 7-10 years of midmarket Commercial Account Executive experience preferredo CIC & CRM, or CPCU required",,Marsh McLennan Agency,"Dallas, TX",,,Full-time,,Mid-Senior level,7
Bench Store Manager,"At DICK’S Sporting Goods, we believe in how positively sports can change lives. On our team, everyone plays a critical role in creating confidence and excitement by personally equipping all athletes to achieve their dreams. We are committed to creating an inclusive and diverse workforce, reflecting the communities we serve.If you are ready to make a difference as part of the world’s greatest sports team, apply to join our team today!
OVERVIEW:
DICK’S Sporting Goods is seeking a passionate, people-first store leader to oversee store operations.The Bench Store Manager commits to their store team, customers, and the community they serve. They’re accountable for increasing company business results and delivering operational goals while prioritizing coaching and development to equip their team and ensure a hassle-free shopping experience for all customers.Directly involved in the interview/hiring process and builds an effective store team by ensuring a diverse mix of backgrounds, skills, perspectives, and experiences are represented.Drives sales and profitability through customer satisfaction and data analysis to uncover customer and business trends; control expenses and workforce budgeting.Guarantees floor sets are executed, visual standards are met, and the store is clean, organized, and safe.Prioritizes community involvement and builds relationships with local leaders.Drives shrink (store loss) results through compliance to all guidelines involved with safety, loss prevention, and cash-handling procedures.Manages team in with a people-first focus by building trust, actively listening, and dedicating time to their team.Leads through coaching and development and infuses learning into day-to-day leading.Creates an inclusive store environment where everyone (teammates & customers) feels safe, welcome, and is treated with respect.QualificationsMUST be relocatable within the region3 years of Retail Store Manager experience or 5 years of related management/customer-focused experienceStrong problem-solving ability and analytical skillsProficiency in MS OfficeMust have strong people management skills and an ability to develop talent.Flexible availability – including nights, weekends, and holidays",,DICK'S Sporting Goods,"Portland, OR",,,Full-time,,Mid-Senior level,5
Customer Service Specialist,"Company DescriptionSOLA Pharmaceuticals is a US-based pharmaceutical manufacturer that specializes in creating quality prescription and over-the-counter medications with a primary focus on topicals, injectables, patches, and tablets. The company is headquartered in Baton Rouge, Louisiana. SOLA Pharmaceuticals manufactures all of its products in FDA approved, US-based cGMP-certified facilities.
Position type: Full-timePay range: Salary commensurate with experienceLocation: Baton Rouge, LA
Role DescriptionWe are seeking a Customer Service Specialist for our Baton Rouge location. Our entry-level growth program is structured specifically towards new employees with little to no pharmaceutical market experience. As a Customer Service Specialist, you will be a key part of our team, assisting with various duties assigned by the department management according to the company’s standard policy and procedures.
ResponsibilitiesOrder processingCustomer supportCreate sales orders and invoicesProcess returnsProvide order updatesProvide documentation to licensing agenciesPerform other general office duties
Qualifications and ExperienceHigh school diploma requiredExperience as a customer service specialist or similar roleBasic Microsoft Office and computer skills/knowledgeKnowledge of BlueLink ERP System preferred
SkillsExcellent attention to detailStrong spoken and written communication skillsHigh energy with the ability to work in fast paced environmentOrganizational skillsTime managementAdaptability
BenefitsMedical, dental, and vision insuranceLife insurancePaid time off and paid holidaysTraining and developmentBusiness casual dress
To apply, please submit your resume to jobs@solameds.us",,SOLA Pharmaceuticals,"Baton Rouge, LA",,,Full-time,,,6
Financial Advisor,"Shah Financial – Financial Advisor/Representative (Sales/Entrepreneurial Opportunity)
About Us: Shah Financial has been helping clients achieve financial security for 15 years. The firm proudly partners with Northwestern Mutual, a leading financial services firm with first class compliance, technology and exclusive products. We are committed to providing comprehensive and personalized financial planning services to individuals, families, and businesses. Our Red Bank office is consistently ranked one of the top offices in the country, based on new Financial Advisor performance, and is seeking to add to our dynamic and driven team.
Job Overview: As a Financial Advisor (either independently or as a part of a team), you will be responsible for helping clients navigate their financial journey by providing expert advice and holistic financial planning services. This involves building and maintaining client relationships, analyzing financial situations, and developing customized strategies to help clients achieve their financial goals. This will be accomplished by support from our firm’s exceptional network of financial specialists, fully paid training and educational programs, and mentoring opportunities. Discover your earning potential, craft a workday around your life, and make an impact every day. Here, hard work pays off. Our financial advisors are valued partners, and proud business owners. We value an inclusive and belonging environment where everyone’s different viewpoints bring new successes!
We will surround you with resources to help in your financial expertise, including but not limited to: Personal Planning Analysis - Asset & Income Protection - Education Funding - Investment & Advisory Services - Trust Services - Retirement Solutions - Business Needs Analysis.
As a Financial Advisor:1. Build—Work to build a client base by growing relationships with your network and develop knowledge of Shah Financial and Northwestern Mutual financial products and market trends.2. Educate—Educate yourself beyond training through sponsored licensing and registration as well as ongoing development. Use assistive software, reporting tools, and illustrations to educate clients on potential plans.3. Influence— Presenting clients with the opportunity to protect and prosper, you will drive clients to action through expert influence and recommendations.4. Own—Take ownership of development and management of the business as you master your craft and build a team. Review and maintain client financial plans, continuing to provide optimum advice for your clients’ needs.
Compensation & Benefits· $80,000 - $125,000 along with commission· Renewable income· Bonus programs and expense allowances· Support for insurance licensing, SIE, Series 6, Series 63, CFP®, and more· Retirement Package and Pension Plan· Medical, Dental, Vision, Life Insurance and Disability Income Insurance· Family Planning
You could be right for this opportunity if you have:· 4-year degree; or equivalent professional work experience· Entrepreneurial ambitions· History of success in sales, athletics, military, client services, or client-facing roles· Excellent time-management skills· Desire for continuous learning· Legal authorization to work in the US without sponsorship
Are you ready to change your life and the lives of your clients? Apply now!",,Shah Financial,"Red Bank, NJ",80000.0,125000.0,Full-time,,,6
Creative and Social Intern,"IHC is a Creative Marketing Agency that brings a holistic approach to creating buzz and driving revenue for our clients, getting them noticed and positioning them as hyper-relevant within their vertical.
We are an all female agency, with expertise in developing innovative marketing strategies to achieve our clients’ business goals, serving national and international brands within the home/design, architecture, luxury, beauty, wellness, and lifestyle categories.
JOB DESCRIPTION 
The 2024 Internship program at IHC is a 120-day internship designed for qualified candidates to gain hands-on experience while learning about the digital media and creative marketing industry with the potential to turn into a full time position.
We are looking for interns who can assist the Social/Digital Marketing team at IHC Agency as well as the founder with her personal projects or their day-to-day responsibilities, which include designing digital assets, creating engaging social calendars, and directly engaging with the audience.
This role will require creativity and flexibility to successfully assist IHC or the founder. This role is perfect for a multi-faceted, creative individual who is looking to gain more insight and experience in digital marketing, design, and content creation efforts.
RESPONSIBILITIES
Conceptualize and generate social material for platforms including Instagram and TikTokAssist IHC Team in curating feeds, digital assets, and flyersTranslate strategic direction into high-quality design within an established brand identityHelp with the creation of social media calendars and content schedulesWork hand-in-hand with the Team to execute design projects for client activationsStay up-to-date on industry trends and best practices for social media content creation
QUALIFICATIONS
1+ year(s) in social media management (specifically experience with Instagram and TikTok)Experience in Creative Design Software (Adobe Creative Suite, Canva, CapCut, Etc.)Experience with Social Media Platforms: TikTok, Instagram, Etc.Excellent English writing/grammarAbility to take direction, multitask, and work proactively in a fast-paced environmentHighly creative and innovative design skills
Please email resume, cover letter, and portfolio with relevant experience to jacklynn@ihcagency.com.",,IHC Agency ,"Miami, FL",,,Internship,,,1
Receptionist/Data Entry,"Company DescriptionPB Built is a residential construction and developement company based in Jupiter, FL. With over 40 years of experience, PB Built has built over 1 million square feet of commercial/retail space and over $200 million in residential custom luxury homes. They are known for constructing unique and distinctive homes using exquisite materials in some of Florida's finest communities.
Role DescriptionThis is a full-time on-site role for a Receptionist/Data Entry position at PB Built in Jupiter, FL. As a Receptionist/Data Entry, you will be responsible for handling incoming calls, small deliveries, disbursing checks and performing data entry tasks. You will also assist with general administrative duties and provide support to the team as needed.
QualificationsOnly locally available prospects need applyPrior experience as a receptionist or in a data entry role is preferredExcellent communication and interpersonal skillsProficient in Microsoft Office suiteAttention to detail and accuracyStrong organizational skillsAbility to multitask and prioritize responsibilities",,PB Built,"Jupiter, FL",,,Full-time,,,1
Social Media Marketing Intern,"Are you a college student passionate about social media, marketing, and plus early childhood development? Look no further! Peariwinkle, a leading Montessori baby company, is on the hunt for a vibrant and creative Social Media Marketing Intern to join our team!
🚀 About Us:At Peariwinkle, we're dedicated to revolutionizing early childhood learning through our range of Montessori toys and parenting resources. We believe in empowering parents to create enriching environments at home for their little ones, fostering growth, curiosity, and creativity from the very beginning.
💼 The Role:As a Social Media Marketing Intern with Peariwinkle, you'll dive headfirst into the world of digital marketing and social media management. From crafting engaging content to implementing innovative strategies, you'll play a pivotal role in expanding our online presence. Plus, you'll have the exciting opportunity to contribute to on-the-ground photoshoots and immerse yourself in the dynamic world of early childhood development and eccomerce!
✨ Qualifications We're Looking For:Proficiency in social media marketing and content creation.A genuine passion for Instagram and TikTok, with a finger on the pulse of the latest trends.Currently pursuing studies in Marketing, or Early Childhood Development.Stellar communication skills, both written and verbal.The ability to work independently and thrive in a remote environment.Bonus points for experience or knowledge in Montessori or early childhood development.
🌈 What's in It for You?Gain hands-on experience in social media marketing within a supportive and dynamic team.Flexibility to work remotely, allowing you to balance your internship with your studies.Dive deep into the world of Montessori and early childhood development, expanding your knowledge and expertise.Opportunity for personal and professional growth, with mentorship from industry experts.
Ready to embark on an exciting journey with Peariwinkle? Don't miss out on this incredible opportunity to make a real impact in the world of early childhood learning!
Apply now on Linkedin and also by sending your resume and a brief cover letter highlighting why you're the perfect fit for the role to gabby@peariwinkle.com. We can't wait to hear from you!#PeariwinkleInternship #SocialMediaMarketing #EarlyChildhoodDevelopment #JoinOurTeam",,Peariwinkle,United States,,,Internship,1.0,,3
Brand Ambassador/Local Market Expert,"Company Description
Brains & Motion Education is a tech-enabled company unlocking the potential of students year-round through summer camp, after-school, and structured recess enrichment programs. By empowering the next generation with world-class STEM, Arts, and Sports programs, BAM fosters a lifelong love for learning, shaping well-rounded individuals who are not just ready for tomorrow but thriving in the present. 
Role Description 
We are launching a search for Brand Ambassadors/Local Market Experts to work in lockstep with our Sales and Marketing teams to drive enrollments for the summer camp season. This is a critical role that involves guerilla marketing and entrepreneurial thinking. 
Each Brand Ambassador/Local Market Expert will be empowered to conduct marketing activities such as the following:
Distribute flyers and posters and send digital communications Award scholarshipsDiscover and participate in Facebook and other local social media groupsFind and engage with relevant local communities Participate in local fairs and mixers and proactively surface opportunities Drive interested attendees to Virtual Open Houses and other online events Proactively grow the BAM! database Be equipped to answer questions about BAM! summer offerings and act as regional BAM! Expert 
Qualifications
Entrepreneurial instincts and the ability to work proactively and independently Content Development and Web Content Writing skillsDigital savvy Interest in K12 education Knowledge of local community, both on and offline
As a BAM! Brand Ambassador/Local Market Expert, you'll earn:$500 for every 10 enrollments you drive$5,000 for every 100 enrollments, (plus, level up to 15% commission!)Additional bonuses up to $2000$15-17 an hour up to 20 hours a week ",,Brains & Motion Education,United States,,,Part-time,1.0,,4
Project Manager,"Xact Warehouse Solutions is looking for a ""rock star"" Project Manager in the material handling industry with a go-getter attitude to join our awesome team! Xact is a small business and is looking for a ""Go-Getter"" with a passion for solving problems for customers and serving those customers with excellence.
Just a few tasks the Project Manager will do:Proactively manage projects effectively from start to finish.Create proposals, purchase requisitions and all other project tasks.Procure materials and labor contractors.Ensure projects are on-schedule and within budget.Communicate with vendors and customers regarding schedules, deliveries and any changes or updates to the project schedule.Attend and participate in meetings, conferences, training and company events.Manage and communicate changes clearly to customer and project team.
About the Project Manager:Education: Bachelor's degree or equivalent experience.Software: Proficient in Microsoft Office applications to include Microsoft Outlook, Excel, Word, and Power Point.Experience: 2+ years of project-based experience in the material handling industry for warehouses and distribution centers.Knowledge of Adobe Acrobat or similar program converting and editing PDF documents.Must be able to read AutoCAD drawings.Must be able to travel as needed.Must demonstrate ability to work independently handling complex projects and prioritizing and managing multiple tasks under tight deadlines and time constraints.Solid organizational skills, follow up, and high attention to detail.Innate ability to think fast and react in a proactive manner, prepare for issues before they arise, roll with the punches, and don’t sweat the small stuff.Must pass a drug and pre-employment screening.Must have the highest integrity!This is an in-office position only. Remote candidates will not be considered.Must be willing to travel 25% to 50% of the time.Must be willing to undergo a background check and drug screening.
BenefitsXact offers competitive compensation, medical and dental benefits, paid holidays, paid time off (PTO), bonus program, and a simple IRA retirement plan.
CompensationStarting salary for Xact project managers is compensated based on project management and industry experience.",,"XACT WAREHOUSE SOLUTIONS, LLC","Austin, Texas Metropolitan Area",,,Full-time,,,5
backend Java developer,"Job Description: JAVA Backend with React strong coder
Java/J2EE with focus on Java collection and concurrency APIs and functional programming  Good knowledge of data-structures and algorithms Hands on experience building and using REST APIs Working experience on Spring Framework Experience with Relational databases and NoSQL databases Experience building highly performing and scalable backend components Strong problem solving skills Good communication skills Ability to work independently with minimal supervision
﻿?Thanks & RegardsSanjay Sharma - Sr talent acquisition specialistEmail ID: sanjay.s@tekishub.com | Phone: (+1) 302-488-0906 - Ext 521 TekisHub® Consulting Services Pvt LtdDerive | Drive | DeliverUSA |India |Canada |Singapore |UAE",,TekisHub Consulting Services ,"Austin, TX",,,Full-time,,,2
Personal Assistant to Controller,"Las Vegas Stone & Flooring’s Detroit Showroom is seeking an Administrative Assistant to add to their team. LVS Detroit is a tile and stone showroom that displays unique and diverse material for interior and exterior residentialand commercial work. This location also is the headquarters for warehouse operations and office/accountingoperations.
Located at:11343 Schaefer Hwy Detroit, MI 48227313-855-6300
Job Responsibilities• Main Work: Assist the controller of the company with accounting and office related tasks• Input bills in QuickBooks, Pay bills when due• Manage office files and records, ensuring proper organization in physical folders and online cloud folders• Assist in the preparation of reports, presentations, and other documents as needed• Provide administrative support to office staff members as required• Assist with answering incoming phone calls into the office.
Job Skills & Qualifications Required:• Prior experience with QuickBooks Online and Outlook preferred• Strong interpersonal and communication skills• Excellent organizational skills and attention to detail• Ability to multitask and prioritize tasks effectively• Excellent Customer service skills• Valid Driver’s License and own transportation
Please email Sania Kaoudsaniak@lasvegasstone.combiancal@lasvegasstone.com",,,"Detroit, MI",,,Full-time,,,1
"Field Office ISSM - Open Rank-RS-Albuquerque, NM","Overview

The Georgia Tech Research Institute (GTRI) is the nonprofit, applied research division of the Georgia Institute of Technology (Georgia Tech). Founded in 1934 as the Engineering Experiment Station, GTRI has grown to more than 2,900 employees, supporting eight laboratories in over 20 locations around the country and performing more than $940 million of problem-solving research annually for government and industry. GTRI's renowned researchers combine science, engineering, economics, policy, and technical expertise to solve complex problems for the U.S. federal government, state, and industry.

Georgia Tech's Mission and Values

Georgia Tech's Mission Is To Develop Leaders Who Advance Technology And Improve The Human Condition. The Institute Has Nine Key Values That Are Foundational To Everything We Do

 Students are our top priority. We strive for excellence. We thrive on diversity. We celebrate collaboration. We champion innovation. We safeguard freedom of inquiry and expression. We nurture the wellbeing of our community. We act ethically. We are responsible stewards.

Over the next decade, Georgia Tech will become an example of inclusive innovation, a leading technological research university of unmatched scale, relentlessly committed to serving the public good; breaking new ground in addressing the biggest local, national, and global challenges and opportunities of our time; making technology broadly accessible; and developing exceptional, principled leaders from all backgrounds ready to produce novel ideas and create solutions with real human impact.

Project/Unit Description

Cyber Security Division (CSD) is responsible for maintaining the overall security posture of classified systems at GTRI. CSD partners with government agencies to provide support for system accreditation and authorization to process classified information in both Collateral and Special (Special Access Programs (SAP) and Sensitive Compartment Information (SCI)) programs. In addition, CSD handles Communication Security (COMSEC) to ensure information is transmitted in a secure manner and in compliance with government regulations.

Job Purpose

ISSM is a contractually recognized role described in the National Industrial Security Program Operating Manual. The ISSM oversees the development, implementation, and evaluation of the GTRI information security program including insider threat awareness, facility management, personnel supporting information systems, user training and awareness, and others as appropriate. The ISSM develops, documents, monitors and reports the compliance of GTRI information security program in accordance with Cognizant Security Agency (CSA)-provided guidelines for management, operational, and technical controls. The ISSM leads self-inspections and implements corrective actions for all identified findings and vulnerabilities for information security program at the Field Office. The ISSM serves as the principal advisor on all matters, technical and otherwise, involving the security of classified systems at GTRI. They will coordinate and manage GTRI activities related to classified information systems requirements, assessment and authorization of classified information, classified information systems configuration management, and project management for the life cycle of classified information systems. The ISSM advises GTRI senior management and execute GTRI’s overall strategy for enterprise classified networks and systems to support GTRI’s current and future contractual requirements. Additionally, the ISSM researches policies and regulations, interacts with various agencies and levels of management, and contributes to establishing and maintaining accredited information systems to support GTRI contracts with the U.S. Government. The ISSM researches system vulnerabilities and threats to stay on top of the continuous threat against accredited information systems and networks.

The Field Office ISSM is also the Assistant Facility Security Officer (AFSO) to assist the full-time Facility Security Officer (FSO) to ensure compliance with governmental regulations within the National Industrial Security Program Operating Manual (NISPOM), Intelligence Community Directives (ICD), Department of Defense (DoD) 5205.07, Volumes 1-4 and National Security Agency/Central Security Service (NSA/CSS) Policy Manual 3-16 and other regulations related to safeguarding and processing of classified information. The poistion will understand and execute requirements within the NISPOM for the management of Personnel Security, Physical and Environmental protections, Incident Handling, and Security Training and Awareness.

Key Responsibilities

Coordinate and manage the GTRI FO activities related to classified information systems requirements, assessment and authorization of classified information, classified information systems configuration management, and project management for the life cycle of classified information systems.Develop, maintain, and oversee policies, processes and procedures for the classified Information Systems (IS) security program for the Field Office Responsible for analyzing network security systems and/or information systems.Safeguard networks against unauthorized modification, destruction, or disclosure.Research, evaluate, design, test, recommend, communicate, and implement new security software or devices.Implement, enforce, communicate, and develop network or other information security policies or security plans for data, software applications, hardware, telecommunications, and computer installations.Interpret, research, and formalize Cyber Security policies, concepts, and measures when designing, procuring, adopting, and developing new IS to ensure compliance with Government policies, guidance, and orders.Research and advise Information Technology (IT) staff of technical security safeguards and operational security measures and provide technical support in implementing security controls.Define system security requirements, design system security architecture and develop detailed security designs.Manage system security requirements for GTRI’s accredited information systems and assure continuous system compliance.Establish strict program control processes to ensure mitigation of risks and supports obtaining certification and accreditation of systems. This includes process support, analysis support, coordination support, security certification test support, security documentation support, investigations, software research, hardware introduction and release, emerging technology research inspections and periodic audits.Responsible maintaining operational security posture for systems by enforcing established security policies, procedures, and standards.Work with Government security cognizant agencies to identify and manage security findings, risks and mitigations in Plan of Action and Milestones (POA&M).Perform continuous monitoring activities including system security audits and vulnerability scanning and remediation.Periodically conduct of a review of each system's audits and monitor corrective actions until all actions are closed.Ensure Configuration Management (CM) of all associated software, hardware, and security relevant functionsLead incident response process to include document and report to appropriate authorityResearch system vulnerabilities and threats to stay on top of the continuous threat against accredited systemsPrepare for and participate in self-inspection and Government security vulnerability assessments.Serve as secondary point of contact for all industrial security concerns. Assist FSO to manage and support the GTRI Field Office classified security programs.Assist FSO to develop and administer security education, training, and awareness programs for both cleared and non-cleared personnel.Assist FSO to maintain visitor control program

Required Minimum Qualifications

Must be able to obtain or have a current TS/SCI clearanceBachelor degree in Computer Engineering, Electrical Engineering, Computer Science, Information Assurance, Information Security or related fields.Must possess or be able to obtain CISSP, Security+ and/or other applicable certifications within six months of hire in compliance with DoD Directive 8140/8570, IAM Level II/III baseline certification requirements.Have experience with JSIG, RMF, ICD 503, NIST 800, NISPOM and DAAPMExperience with information systems Incident Response TeamExperience identifying system vulnerabilities and implementing mitigation strategies.

Preferred Qualifications

Active TS/SCI ClearanceIAM Level III compliance with CISSPExperience in an environment and culture steeped in teamwork and collaboration working on challenging technical projectsExperience working with XACTA/eMASS

Travel Requirements

<10% travel

Education And Length Of Experience

This position vacancy is an open-rank announcement. The final job offer will be dependent on candidate qualifications in alignment with Research Faculty Extension Professional ranks as outlined in section 3.2.1 of the Georgia Tech Faculty Handbook

0 years of related experience with a Bachelor’s degree in Computer Engineering, Electrical Engineering, Computer Science, Information Assurance, Information Security or related fields.

U.S. Citizenship Requirements

Due to our research contracts with the U.S. federal government, candidates for this position must be U.S. Citizens.

Clearance Type Required

Candidates must be able to obtain and maintain an active security clearance.

Benefits At GTRI

Comprehensive information on currently offered GTRI benefits, including Health & Welfare, Retirement Plans, Tuition Reimbursement, Time Off, and Professional Development, can be found through this link: https://hr.gatech.edu/benefits

Equal Employment Opportunity

The Georgia Institute of Technology (Georgia Tech) is an Equal Employment Opportunity Employer. The University is committed to maintaining a fair and respectful environment for all. To that end, and in accordance with federal and state law, Board of Regents policy, and University policy, Georgia Tech provides equal opportunity to all faculty, staff, students, and all other members of the Georgia Tech community, including applicants for admission and/or employment, contractors, volunteers, and participants in institutional programs, activities, or services. Georgia Tech complies with all applicable laws and regulations governing equal opportunity in the workplace and in educational activities.

Georgia Tech prohibits discrimination, including discriminatory harassment, on the basis of race, ethnicity, ancestry, color, religion, sex (including pregnancy), sexual orientation, gender identity, gender expression, national origin, age, disability, genetics, or veteran status in its programs, activities, employment, and admissions. This prohibition applies to faculty, staff, students, and all other members of the Georgia Tech community, including affiliates, invitees, and guests. Further, Georgia Tech prohibits citizenship status, immigration status, and national origin discrimination in hiring, firing, and recruitment, except where such restrictions are required in order to comply with law, regulation, executive order, or Attorney General directive, or where they are required by Federal, State, or local government contract.

All members of the USG community must adhere to the USG Statement of Core Values, which consists of Integrity, Excellence, Accountability, and Respect. These values shape and fundamentally support our University's work. Additionally, all faculty, staff, and administrators must also be aware of and comply with the Board of Regents and Georgia Institute of Technology's policies on Freedom of Expression and Academic Freedom. More information on these policies can be found here: Board of Regents Policy Manual | University System of Georgia (usg.edu).",,Georgia Tech Research Institute,"Albuquerque, NM",,,Full-time,,Entry level,1
Cloud Platform/ Big Data Engineer,"About Subaru Research and Development:Do you care about making social impacts through your job, like eliminating fatal accidents by improving safety driving systems, or reducing carbon emissions by developing new BEVs?Do your personal interests relate to road trips, going outdoors, off-road driving, hands-on work on cars, or rally and racing? If your answer is yes, then this job is right for you!
Subaru R&D is an innovation partner of SUBARU Corporation in Japan, and our mission is to serve as a R&D hub of the SUBARU Group. We strive to create products that ignite the hearts of our customers in North America market. We lead and support Subaru's next generation vehicle development by researching, prototyping, testing, and analyzing.
General Position Summary:Develops and directs software system tests, programming, and documentation. Analyzes North American customer data and technical trends to determine user demands and set target performance goals for future products, and coordinates testing with Japan counterparts.Develops, research, designs, implements, tests, and evaluates software and systems, in conjunction with vehicle hardware development, to enable vehicle compute units to perform their applications.Analyzes software requirements to determine feasibility of design within time and cost constraints.Consults with other vehicle development engineers and engineering staff to evaluate interfacing, operational, and performance requirements of overall systems mainly in cockpit.Formulates and designs software systems, using scientific analysis to measure outcomes of designs.
Responsibilities:Develop internal software solutions for data analysis, data ingestion, or web applications using Google Cloud Platform, Amazon Web Service, or Microsoft Azure.Enable back-end services across the Subaru vehicle connected system.Leverage both public and private cloud environments to ensure a robust and scalable infrastructure.Construct and adapt data models to support analysis work.Design unit and integration tests.Write technical reports and give feedback to Subaru Corporation in Japan by writings, emails, and presentations.Support the maintenance of internal web applications.Construct software tools and internal packages to scale data analysis work for other team members.Plan, conduct and evaluate the Proof of Concept (PoC) stage in developing Subaru's next generation infotainment system, cockpit system including meters, displays, buttons, etc.Plan, propose solutions, test the potential solutions, and evaluate the testing data, regarding how interface between software and vehicle hardware can be improved for big data analysis purposes.Collect data from prototype system, clean/prepare the data, analyze the data, and draw conclusions on the testing results.Collaborate with other technical experts including product managers, UI/UX designers, marketing experts, and other business stakeholders.
Qualifications:1-2 years previous automotive engineering experience including internship.Bachelor’s degree in mechanical engineering, electrical engineering, computer science, software engineering, or equivalent, or equivalent combination of education and experience.Knowledge and experience of big data analysis or statistical data processing is a plus.Knowledge and experience in Python, C++, or JAVA is a plus.Knowledge and/or certificate around AWS, GCP, or Azure is mandatory.Proof of relevant work via internships or an active Github page in lieu of professional experience is accepted.Communication skills across cultural and language barriers.
Compensation and Benefit:Individual base salary is determined by factors such as job-related skills, experience, and relevant education or training. In addition to competitive salary, Subaru offers an amazing benefits package that includes:Medical, Dental, Vision Plans Medical, Dental, Vision plans available on your first dayPension and 401K Match Offerings12 Vacation days for the first year. (The amount increases with the length of service.)14 Company Holidays, 3 Floating Holidays, and 5 Sick daysEducation Assistance Program/ Gym Membership AssistanceVehicle Discount Program/ Vehicle Lease Program
Equal Opportunity:Subaru R&D is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, disability status, genetic information, protected veteran status, or any other characteristic protected by law.",,"Subaru Research and Development, Inc","Michigan, United States",,,Full-time,,Entry level,1
